% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
123	1	1	1	0	0	28	2196	0	1	1
123	2	2	1	0	0	28	2196	0	1	1
124	1	1	1	0	0	28	2196	0	1	1
124	2	2	1	0	0	28	2196	0	1	1
223	1	1	1	0	0	28	2196	0	1	1
223	2	2	1	0	0	28	2196	0	1	1
224	1	1	1	0	0	28	2196	0	1	1
224	2	2	1	0	0	28	2196	0	1	1
323	1	1	1	0	0	28	2196	0	1	1
323	2	2	1	0	0	28	2196	0	1	1
324	1	1	1	0	0	28	2196	0	1	1
324	2	2	1	0	0	28	2196	0	1	1
423	1	1	1	0	0	28	2196	0	1	1
423	2	2	1	0	0	28	2196	0	1	1
424	1	1	1	0	0	28	2196	0	1	1
424	2	2	1	0	0	28	2196	0	1	1
523	1	1	1	0	0	28	2196	0	1	1
523	2	2	1	0	0	28	2196	0	1	1
524	1	1	1	0	0	28	2196	0	1	1
524	2	2	1	0	0	28	2196	0	1	1
623	1	1	1	0	0	28	2196	0	1	1
623	2	2	1	0	0	28	2196	0	1	1
624	1	1	1	0	0	28	2196	0	1	1
624	2	2	1	0	0	28	2196	0	1	1
723	1	1	1	0	0	28	2196	0	1	1
723	2	2	1	0	0	28	2196	0	1	1
724	1	1	1	0	0	28	2196	0	1	1
724	2	2	1	0	0	28	2196	0	1	1
823	1	1	1	0	0	28	2196	0	1	1
823	2	2	1	0	0	28	2196	0	1	1
824	1	1	1	0	0	28	2196	0	1	1
824	2	2	1	0	0	28	2196	0	1	1
923	1	1	1	0	0	28	2196	0	1	1
923	2	2	1	0	0	28	2196	0	1	1
924	1	1	1	0	0	28	2196	0	1	1
924	2	2	1	0	0	28	2196	0	1	1
1023	1	1	1	0	0	28	2196	0	1	1
1023	2	2	1	0	0	28	2196	0	1	1
1024	1	1	1	0	0	28	2196	0	1	1
1024	2	2	1	0	0	28	2196	0	1	1
1123	1	1	1	0	0	28	2196	0	1	1
1123	2	2	1	0	0	28	2196	0	1	1
1124	1	1	1	0	0	28	2196	0	1	1
1124	2	2	1	0	0	28	2196	0	1	1
1223	1	1	1	0	0	28	2196	0	1	1
1223	2	2	1	0	0	28	2196	0	1	1
1224	1	1	1	0	0	28	2196	0	1	1
1224	2	2	1	0	0	28	2196	0	1	1
1323	1	1	1	0	0	28	2196	0	1	1
1323	2	2	1	0	0	28	2196	0	1	1
1324	1	1	1	0	0	28	2196	0	1	1
1324	2	2	1	0	0	28	2196	0	1	1
1423	1	1	1	0	0	28	2196	0	1	1
1423	2	2	1	0	0	28	2196	0	1	1
1424	1	1	1	0	0	28	2196	0	1	1
1424	2	2	1	0	0	28	2196	0	1	1
1523	1	1	1	0	0	28	2196	0	1	1
1523	2	2	1	0	0	28	2196	0	1	1
1524	1	1	1	0	0	28	2196	0	1	1
1524	2	2	1	0	0	28	2196	0	1	1
1623	1	1	1	0	0	28	2196	0	1	1
1623	2	2	1	0	0	28	2196	0	1	1
1624	1	1	1	0	0	28	2196	0	1	1
1624	2	2	1	0	0	28	2196	0	1	1
1723	1	1	1	0	0	28	2196	0	1	1
1723	2	2	1	0	0	28	2196	0	1	1
1724	1	1	1	0	0	28	2196	0	1	1
1724	2	2	1	0	0	28	2196	0	1	1
1823	1	1	1	0	0	28	2196	0	1	1
1823	2	2	1	0	0	28	2196	0	1	1
1824	1	1	1	0	0	28	2196	0	1	1
1824	2	2	1	0	0	28	2196	0	1	1
1923	1	1	1	0	0	28	2196	0	1	1
1923	2	2	1	0	0	28	2196	0	1	1
1924	1	1	1	0	0	28	2196	0	1	1
1924	2	2	1	0	0	28	2196	0	1	1
